[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.9824008492062695","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:43.973Z","status":"success"}
[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247231_0.9424950712565123","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"1ms","timestamp":"2026-03-20T02:56:43.976Z","status":"success"}
[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247231_0.2758755110866763","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:43.979Z","status":"success"}
[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247231_0.1533268526986673","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:43.982Z","status":"success"}
[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247234_0.7126294951138598","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"1ms","timestamp":"2026-03-20T02:56:43.984Z","status":"success"}
[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247234_0.028743043503694832","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:43.988Z","status":"success"}
[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247234_0.7651832852162986","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:43.992Z","status":"success"}
[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.11868701684104166","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:43.993Z","status":"success"}
[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.47664015206266785","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"4ms","timestamp":"2026-03-20T02:56:43.999Z","status":"success"}
[2026-03-20 02:56:43] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.6387788769927032","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:43.999Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.9697859829824967","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.004Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247232_0.14528470738695232","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.005Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.795970063169174","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"4ms","timestamp":"2026-03-20T02:56:44.010Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247232_0.7297868224778974","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.011Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247232_0.12532225324641555","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.015Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247232_0.06857473740086828","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.018Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247231_0.6836705368207863","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.022Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.9442833517297752","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.025Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.04023299879069875","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"1ms","timestamp":"2026-03-20T02:56:44.027Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.2167544330220572","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.030Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.8587700387725007","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.033Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.8835505444286946","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.036Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.059328565573972036","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"1ms","timestamp":"2026-03-20T02:56:44.038Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.33801801236155204","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.043Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.35856012280092764","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.044Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.6263879635178619","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.048Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.674456810979489","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.049Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.12927391588581505","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"4ms","timestamp":"2026-03-20T02:56:44.054Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.7813257874668306","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.055Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.5828243466790771","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.059Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.8819307430930543","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.060Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.3200188106181058","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.064Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247229_0.1663263751332693","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.064Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247228_0.6436832589171709","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.068Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247227_0.4660464404491025","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.069Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247227_0.27933060582384517","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.074Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.08259471871965618","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.075Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.9975219672955365","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.079Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.19566834231864794","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"1ms","timestamp":"2026-03-20T02:56:44.079Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.9260137928301911","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.084Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.8262859433710784","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"1ms","timestamp":"2026-03-20T02:56:44.084Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.7092224336021019","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.089Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.005379599930725454","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.089Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.2846311068051275","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"4ms","timestamp":"2026-03-20T02:56:44.095Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247228_0.6071547517811444","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.095Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247228_0.7833498113310076","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.099Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247228_0.33736804292403955","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.100Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247228_0.016917262268144162","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.104Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247228_0.9423216526664941","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.104Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247232_0.412172206537345","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.109Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247232_0.12091393931712036","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.110Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247232_0.6548714326822961","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.114Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247231_0.3904907805600041","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.114Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.8548681162123143","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.119Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.44015857569908523","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.119Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.04135892939775665","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.124Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247230_0.8506375128824823","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.124Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247231_0.3920996652690928","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.129Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247231_0.072200583244314","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.129Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247231_0.0843266525624321","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.134Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247233_0.16116455045846756","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"2ms","timestamp":"2026-03-20T02:56:44.135Z","status":"success"}
[2026-03-20 02:56:44] INFO: {"method":"GET","url":"/search?q=keo%20dau&_t=1773975247232_0.2667107662944964","role":"Anonymous","userId":"Anonymous","userName":"Anonymous","statusCode":200,"duration":"3ms","timestamp":"2026-03-20T02:56:44.139Z","status":"success"}
